age,city,job_title,seniority_level,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,salary_norm,job_category,z_score,modif_z_score
30.0,berlin,software engineer,senior,english,101-1000,product,82113.27598985913,2020,de,10,scala,"python, java / scala, aws, docker",full-time employee,2,,,,,it,1.7600856534383456,Software Engineer,-0.40085055595494373,0.2023500000000002
38.0,berlin,localization producer,medior,english,1000+,product,112335.52340279339,2020,de,17,,,full-time employee,3,,,,,it,2.4078949564399585,Out of scope,1.1026303738139929,2.5855833333333336
43.0,berlin,mobile developer,senior,english,1000+,product,82113.27598985913,2020,de,5,kotlin,"kotlin, java / scala",full-time employee,3,,,,,it,1.7600856534383456,Mobile,-0.40085055595494373,0.2023500000000002
33.0,berlin,software engineer,medior,english,101-1000,product,74130.04082417837,2020,de,5,python,kubernetes,full-time employee,1,,,,,it,1.5889662149096173,Software Engineer,-0.14064341725537421,0.07494444444444445
31.0,berlin,software engineer,senior,english,11-50,startup,68427.72999154928,2020,de,9,"c#, .net core","python, .net, aws, azure, kubernetes, docker",full-time employee,,,,,,it,1.4667380445319547,Software Engineer,-0.7913070101323357,1.011750000000001
32.0,berlin,qa engineer,senior,english,101-1000,product,69568.1921580751,2020,de,10,java,"kotlin, javascript / typescript, sql, docker",full-time employee,,,,,,it,1.491183678607487,QA/Test Engineers,-0.75876897228422,0.9443000000000015
24.0,berlin,data scientist,senior,english,101-1000,startup,166507.4763127699,2020,de,4,python,"python, aws, docker",full-time employee,2,,,,,it,3.569062575027756,Data Scientist/ ML Engineer,2.0069642448056397,4.788950000000003
29.0,berlin,devops,executive,english,101-1000,product,100360.67065427227,2020,de,7,kubernetes,"python, go, aws, kubernetes",full-time employee,1,,,,,it,2.1512157986468665,DevOps Engineer,-0.46711526643009044,0.3147666666666667
29.0,berlin,data scientist,senior,english,101-1000,product,92377.43548859152,2020,de,4,python,"sql, aws, docker",full-time employee,4,,,,,it,1.9800963601181387,Data Scientist/ ML Engineer,-0.10800821532189975,0.4047000000000004
30.0,munich,hardware engineer,senior,english,101-1000,product,96939.2841546948,2020,de,5,vhdl,python,full-time employee,5,,,,,it,2.077878896420269,Hardware,0.022143936070563953,0.6745
