seniority_level,level_1,age,city,job_title,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,city_category,language_category,company_size_category,industry_category,country_code,median_income_2020_usd,mean_income_2020_usd,gdp_ppp_usd,glassdoor_software_engineer_usd,salary_normmed,salary_normmean,salary_normgdp,salary_normse,salary_norm,salary_2024,salary_norm_2024,salary_normmed_2024,salary_normmean_2024,salary_normgdp_2024,salary_normse_2024,job_category,salary_log,salary_2024_log,salary_norm_log,salary_norm_2024_log,salary_normmed_2024_log,salary_normmean_2024_log,salary_normgdp_2024_log,salary_normse_2024_log,z_score,modif_z_score,modif_z_score_signed
senior,635,32.0,berlin,qa engineer,english,1000+,product,143698.23298225345,2020,de,10.0,js,"java / scala, google cloud, docker",full-time employee,3.0,,,,,it,berlin,English-speaking (but not german),l,other,de,16845,19730,69338,83332.0,8.530616383630361,7.28323532601386,2.0724311774532502,1.724406386289222,2.9496527491892657,169917.59650593364,3.4878501653618583,10.087123568176528,8.612143766139566,2.4505696228032776,2.0390437827717283,QA/Test Engineers,11.875470775417076,12.043068872078878,1.081687451283879,1.2492855479456808,2.311259716238225,2.153173273062217,0.8963204966362863,0.7124809640306058,0.8925446610947732,2.2794007610361584,2.2794007610361584
senior,637,34.0,munich,software engineer,english,101-1000,product,84394.20032291075,2020,de,12.0,java,"java / scala, sql, go, google cloud, kubernetes, docker",full-time employee,8.0,,,,,it,munich,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,5.010044542767038,4.277455667658933,1.2171421200915913,1.0127466078206542,1.7323357415873464,99792.87413840546,2.048419938387123,5.924183682897327,5.057925703923237,1.439223429265417,1.1975336501992688,Software Engineer,11.343253961669769,11.51085205833157,0.5494706375365705,0.7170687341983726,1.7790429024909167,1.6209564593149088,0.364103682888978,0.1802641502832974,-0.12458469150417796,0.18578122936396171,-0.18578122936396171
senior,638,43.0,cologne,backend developer,german,101-1000,product,74814.31812409386,2020,de,10.0,php,php,full-time employee,7.0,,,,,it,other,German-speaking,m,other,de,16845,19730,69338,83332.0,4.441336783858347,3.791906645924676,1.078980041594708,0.8977861820680394,1.5356922249747287,88465.03437134322,1.8158965940296656,5.251708778352224,4.4837827861805994,1.2758521210785316,1.061597398014487,Back End,11.222764564415641,11.390362661077443,0.42898124028244417,0.596579336944246,1.6585535052367901,1.5004670620607825,0.2436142856348515,0.05977475302917109,-0.35485419719911604,0.7438776375809046,-0.7438776375809046
senior,639,33.0,munich,software engineer,english,101-1000,startup,79832.35165680747,2020,de,13.0,java,"python, kotlin, javascript / typescript, aws, kubernetes, docker",full-time employee,4.0,,,,,it,munich,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,4.73923132423909,4.046241847785478,1.1513506541406944,0.9580035479384567,1.6386959717718141,94398.66472551868,1.9376945363121434,5.60395753787585,4.784524314521981,1.3614275682240429,1.1328021015398488,Software Engineer,11.287684110514958,11.45528220717676,0.4939007863817598,0.6614988830435619,1.7234730513361058,1.565386608160098,0.3085338317341671,0.12469429912848659,-0.23078525726824423,0.44317594658741366,-0.44317594658741366
senior,640,28.0,munich,qa engineer,english,101-1000,product,85534.66248943658,2020,de,8.0,kotlin,"kotlin, java / scala, aws, kubernetes, docker",full-time employee,4.0,,,,,it,munich,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,5.077747847399025,4.335259122627297,1.2335899865793156,1.0264323727912037,1.7557456840412295,101141.42649162718,2.076101288905868,6.004240219152696,5.1262760512735515,1.4586723945257605,1.2137165373641239,QA/Test Engineers,11.35667698200191,11.524275078663711,0.5628936578687114,0.7304917545305133,1.7924659228230573,1.6343794796470494,0.3775267032211187,0.19368717061543814,-0.09893171018586315,0.12360696668597243,-0.12360696668597243
senior,641,33.0,hamburg,software engineer,english,11-50,product,74130.04082417836,2020,de,11.0,java,"python, sql",full-time employee,5.0,,,,,it,hamburg,English-speaking (but not german),s,other,de,16845,19730,69338,83332.0,4.400714801079155,3.7572245729436573,1.0691113217020733,0.8895747230857097,1.5216462595023987,87655.9029594102,1.7992877837184187,5.203674856599003,4.442772577770411,1.2641827419223255,1.051887665715574,Software Engineer,11.213576138361235,11.381174235023037,0.4197928142280379,0.5873909108898399,1.6493650791823837,1.4912786360063761,0.23442585958044518,0.050586326974764804,-0.3724143674205683,0.7864376278787694,-0.7864376278787694
senior,643,51.0,berlin,software engineer,german,1000+,consulting / agency,74130.04082417836,2020,de,30.0,"vb, rpa, python","python, php, javascript / typescript, .net, sql, sap / abap",full-time employee,30.0,,,,,it,berlin,German-speaking,l,other,de,16845,19730,69338,83332.0,4.400714801079155,3.7572245729436573,1.0691113217020733,0.8895747230857097,1.5216462595023987,87655.9029594102,1.7992877837184187,5.203674856599003,4.442772577770411,1.2641827419223255,1.051887665715574,Software Engineer,11.213576138361235,11.381174235023037,0.4197928142280379,0.5873909108898399,1.6493650791823837,1.4912786360063761,0.23442585958044518,0.050586326974764804,-0.3724143674205683,0.7864376278787694,-0.7864376278787694
senior,646,33.0,berlin,ml engineer,english,1000+,product,102641.59498732389,2020,de,10.0,,"python, java / scala",full-time employee,6.0,,,,,it,berlin,English-speaking (but not german),l,other,de,16845,19730,69338,83332.0,6.09329741687883,5.202310947152757,1.4803079838951785,1.2317188473494443,2.106894820849475,121369.71178995259,2.491321546687041,7.205088262983235,6.151531261528262,1.7504068734309122,1.4564598448369486,Data Scientist/ ML Engineer,11.538998538795862,11.706596635457664,0.7452152146626658,0.9128133113244677,1.974787479617012,1.8167010364410041,0.5598482600150732,0.37600872740939273,0.24950637413725907,0.7208906265140186,0.7208906265140186
senior,652,25.0,berlin,software engineer,english,1000+,product,88670.93344738259,2020,de,6.0,javascript / typescript,"aws, docker",full-time employee,3.0,,,,,it,berlin,English-speaking (but not german),l,other,de,16845,19730,69338,83332.0,5.2639319351369895,4.494218623790299,1.278821619420557,1.0640682264602144,1.8201230257894079,104849.94546298683,2.1522250028324166,6.224395693854962,5.314239506486915,1.5121570489917049,1.258219477067475,Software Engineer,11.392687419524941,11.560285516186743,0.5989040953917444,0.7665021920535464,1.8284763603460905,1.6703899171700827,0.4135371407441517,0.2296976081384712,-0.03011149996605211,0.04319024782359869,0.04319024782359869
senior,654,28.0,frankfurt,frontend developer,english,11-50,startup,91236.97332206568,2020,de,7.0,javascript,"javascript / typescript, aws, azure, docker",full-time employee,5.0,,,,,it,frankfurt,English-speaking (but not german),s,other,de,16845,19730,69338,83332.0,5.4162643705589595,4.624276397469117,1.3158293190179364,1.0948611976439504,1.8727953963106447,107884.18825773564,2.2145080414995926,6.404522900429542,5.468027788025122,1.5559172208274776,1.2946309731883987,Front End,11.42121550313948,11.588813599801282,0.6274321790062825,0.7950302756680845,1.8570044439606284,1.6989180007846207,0.4420652243586898,0.25822569175300925,0.02440904592470684,0.17532984982530855,0.17532984982530855
