City,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Your main technology,Just a few more general questions,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company layoffs,Work From Home allowance
Berlin,,Full-time employee,,Engineering Manager,,20,10,Lead / Staff,,PHP,"Java / Scala,Python,Kotlin,C# / .NET core,Javascript / Typescript, React,SQL,Google Cloud,Kubernetes,Terraform,Docker",5,"English,German,Russian",,,1000+,120000,256800,158000,unlimited,,,,,,No,Yes,over 1000 euros
Other,Friedrichshafen,Full-time employee,,Tech Lead / Team Lead,,12,6,Lead / Staff,,C / C++,"Python,C / C++,Other,Javascript / Typescript",5,"English,Russian",,,1000+,97000,150000,120000,unlimited,,,,,,No,Yes,No
Berlin,,Full-time employee,,Engineering Manager,,12,6,Senior,,Java,"Java / Scala,Google Cloud,Kubernetes,Terraform,Docker",0,English,,,101-1000,100000,0,80000,30,,,,,,,No,No
Berlin,,Full-time employee,,Frontend Developer,,10,4,Senior,,JavaScript / Typescript,"Docker,Kubernetes,Google Cloud, React,Angular,Javascript / Typescript,Python",3,"English,German",,,101-1000,80000,0,,32,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,QA Engineer,,4,1,Middle,,Kotlin,,1,English,,,1000+,57000,57000,57000,30,,,,,,,No,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,15,4,Lead / Staff,,JavaScript / Typescript,Angular,4,"English,German,Russian",,,101-1000,101000,103000,86000,27,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,7,5,Senior,,Go," React,NodeJS,Javascript / Typescript",0,English,,,101-1000,130000,240000,90000,25,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,15,6,Lead / Staff,,Java,"PHP,Google Cloud",0,English,,,1000+,115000,170000,85000,Unlimited,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Software Engineer,,25,14,Senior,,Java,"Kotlin,SQL,AWS,Google Cloud",4,"Russian,English",,,101-1000,82000,82000,77000,30,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,10,1,Senior,,Python,"Python,R,SQL,AWS,Google Cloud,Azure,Kubernetes,Docker",0,English,,,101-1000,75000,86000,,28,,,,,,,No,No
Berlin,,Full-time employee,,Head / Principal / VP,,20,5,Head / Principal,,Other,"Java / Scala, React,NodeJS,SQL,AWS,Google Cloud,Docker",0,English,Javascript,,51-100,120000,120000,100000,28,,,,,,"Yes, I am satisfied with a severance package",Yes,No
Berlin,,Full-time employee,,Software Engineer,,11,0,Senior,,C / C++,C / C++,0,"Russian,English",,,11-50,75000,75000,,30,,,,,,,No,No
Berlin,,Full-time employee,,Head / Principal / VP,,15,3,Head / Principal,,SQL,Python,0,English,,,51-100,95000,107000,78000,28,,,,,,No,Yes,No
Munich,,Full-time employee,,Other,Staff engineer,7,5,Senior,,Other,,0,English,,,1000+,82000,90000,75000,30,,,,,,,No,No
Hamburg,,Full-time employee,,Other,Support engineer,15,4,Middle,,Other,"Kubernetes,AWS,Azure",3,English,,,101-1000,65000,70000,,,,,,,,,No,No
Berlin,,Full-time employee,,Other,Delivery manager,10,1,Middle,,JavaScript / Typescript,,0,English,,,101-1000,72000,6000,,Unlimited,,,,,,,No,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,2,2,Junior,,Python,"Python,SQL,Google Cloud,Docker",2,English,,,1000+,56500,56500,51000,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Backend Developer,,15,6,Senior,,Java,"Python,Java / Scala,Kubernetes,Docker",6,English,,,101-1000,79000,79000,79000,30,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,17,7,Senior,,Ruby,"Javascript / Typescript,Other",0,English,,,51-100,90000,90540,70000,28,,,,,,,No,No
Hamburg,,Full-time employee,,Tech Lead / Team Lead,,14,8,Lead / Staff,,PHP,"Javascript / Typescript,SQL",0,English,,,1000+,90000,95000,65000,28,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,4,0,Middle,,Python,"SQL,AWS,Docker",0,English,,,1000+,75000,75000,,26,,,,,,,No,500 - 1000
Other,,Full-time employee,,Other,Cybersecurity Officer,15,1,Senior,,Other,,0,"English,German",,,1000+,110000,114000,97500,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,10,2,Senior,,Ruby,Go,2,English,,,51-100,85000,85000,82000,28,,,,,,,No,No
Berlin,,Full-time employee,,DevOps,,12,6,Senior,,PHP,"Terraform,Docker,AWS",6,"English,German,Russian",,,101-1000,70000,78000,68000,unlimited,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Software / Solutions Architect,,16,11,Senior,,Other,"Python,Javascript / Typescript,NodeJS,Go,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker",2,English,,,101-1000,96000,120000,112500,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Backend Developer,,15,3,Senior,,Go,"Python,Ruby",2,"English,Russian",,,101-1000,90000,90000,85000,unlimited,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,7,3,Senior,,Java,"Javascript / Typescript,Angular",2,"English,German,Russian",,,101-1000,66000,66000,60000,28,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,15,12,Senior,,Other,"AWS,Google Cloud,Azure,Python,Java / Scala,Terraform,Kubernetes,Other",1,English,,,51-100,108000,110000,,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,3,0,Middle,,Swift,"Java / Scala,Ruby,SQL,Kubernetes,Docker,AWS,Swift",0,English,,,1000+,70000,70000,,25,,,,,,,No,100 - 500
Munich,,Full-time employee,,Other,Data Analyst,10,0,Senior,,Python,SQL,1,"English,German,Russian",,,101-1000,60000,67000,,,,,,,,,No,over 1000 euros
Stuttgart,,Full-time employee,,Other,IT Security,8,6,Senior,,SAP / ABAP,,4,German,,,1000+,81000,93000,,30,,,,,,,No,No
Berlin,,Full-time employee,,DevOps,,15,6,Lead / Staff,,Other,"Python,Go,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker",3,"English,Russian","Clouds, docker, go, linux, terraform",,51-100,88000,88000,75000,30,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,8,5,Senior,,Python,"Docker,Kubernetes",1,"English,Russian",,,101-1000,88000,88000,73000,30,,,,,,,No,No
Heidelberg,,Full-time employee,,Software Engineer,,7,7,Senior,,C# / .NET,"Angular,Docker,Azure,Javascript / Typescript",1,German,,,101-1000,65000,75000,75000,30,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,1,0,Junior,,Python,"Java / Scala,SQL,AWS",0,English,,,1000+,65000,0,,28,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,DevOps,,8,5,Senior,,Python,"Python,Javascript / Typescript, React,NodeJS,SQL,AWS,Terraform,Docker",2,"English,Russian",,,101-1000,74000,74000,,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,5,4,Senior,,Go,"Javascript / Typescript,Kubernetes,Docker,Other",1,English,,,101-1000,85000,85000,65000,unlimited,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Scrum Master / Agile Coach,,3,1,Middle,,Python,,2,English,,,1000+,70000,73000,,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Mobile Developer,,10,5,Senior,,Kotlin,Java / Scala,0,English,,,101-1000,80000,80000,75000,23,,,,,,No,Yes,No
Berlin,,Full-time employee,,Product Manager,,11,7,Lead / Staff,,Other,,0,"English,Russian",,,1000+,170000,170000,400000,28,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Data Scientist,,5,0,Middle,,Python,"Python,SQL,Google Cloud",0,English,,,101-1000,70000,70000,,26,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,3,0,Middle,,Python,"Java / Scala,SQL,Google Cloud",0,English,,,1000+,83000,83000,,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,BI Developer / Data Engineer,,15,3,Senior,,SQL,"Python,Java / Scala,Google Cloud,Kubernetes,Docker",1,English,,,up to 10,85000,115000,,30,,,,,,,No,No
Berlin,,Full-time employee,,QA Engineer,,12,3,Middle,,Java,"Kotlin,Kubernetes",3,"English,Russian",,,1000+,78000,78000,73000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Backend Developer,,2,1,Junior,,Python,Docker,2,"English,Russian",,,up to 10,45000,45000,45000,28,,,,,,,No,No
Berlin,,Full-time employee,,Head / Principal / VP,,6,6,Head / Principal,,JavaScript / Typescript," React,NodeJS,Go,Google Cloud,AWS,Kubernetes,Terraform,Docker",0,"English,German",,,11-50,95000,95000,79000,26,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,6,2,Senior,,Python,"Python,Swift,Docker",2,"English,German",,,up to 10,45000,45000,45000,24,,,,,,,No,No
Stuttgart,,Full-time employee,,Software Engineer,,24,1,Senior,,Go,"Javascript / Typescript, React,NodeJS,AWS,Terraform,Docker",1,English,,,51-100,75000,75000,65000,30,,,,,,,No,No
Berlin,,Full-time employee,,QA Engineer,,13,7,Middle,,Python,,3,English,,,1000+,67500,83520,83520,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,ML Engineer,,7,3,Senior,,Python,"Rust,SQL,Kubernetes,Docker",2,English,,,1000+,115000,130000,90000,25,,,,,,No,Yes,No
Berlin,,Full-time employee,,Engineering Manager,,15,5,Middle,,Go,"Kubernetes,Terraform,Docker",0,English,,,up to 10,120000,120000,110000,24,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,15,7,Senior,,PHP,"Javascript / Typescript,Docker",0,English,,,101-1000,75000,75000,,26,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,QA Engineer,,1,1,Junior,,JavaScript / Typescript,"Angular,NodeJS,SQL,AWS,Docker",0,English,,,1000+,55000,55000,,30,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,12,3,Senior,,Java,"SQL,AWS,Kubernetes",0,English,,,1000+,95000,119000,80000,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Product Manager,,10,0,Senior,,SQL,,0,English,,,101-1000,67000,75000,,28,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,9,2,Senior,,Other,"Kubernetes,Google Cloud,Docker",3,English,elixir,,101-1000,79000,79000,79000,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,DevOps,,10,5,Middle,,Other,"Kubernetes,Docker,Other",3,German,Kubernetes,,101-1000,65000,65000,60000,25,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,10,4,Senior,,Other,"Python,SQL,AWS,Terraform,Docker",1,English,Terraform,,101-1000,115000,115000,87000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Engineering Manager,,15,7,Middle,,PHP,Go,5,English,,,101-1000,120000,132000,99000,29,,,,,,,No,No
Frankfurt,,Full-time employee,,Network / Security Engineer / System Administrator,,4,4,Middle,,Bash,"Terraform,Docker,Kubernetes",1,German,,,101-1000,62700,62700,57000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,3,3,Middle,,JavaScript / Typescript," React,NodeJS",3,English,,,101-1000,68000,0,60000,Unlimited,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Software Engineer,,13,13,Senior,,Java,"Javascript / Typescript,Angular, React",4,German,,,101-1000,72500,72500,71000,30,,,,,,,No,No
Berlin,,Full-time employee,,Engineering Manager,,10,8,Lead / Staff,,Go,"Kotlin,Python,PHP,AWS,SQL,Terraform,Kubernetes,Docker",1,English,,,1000+,100000,125000,125000,28,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,10,6,Senior,,Python,"Python,SQL,AWS,Docker",3,English,,,1000+,105000,125000,120000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,10,3,Senior,,Python,"Java / Scala,Python,Terraform,Docker,Kubernetes,AWS",2,English,,,1000+,84000,6000,0,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,DevOps,,21,3,Senior,,Python,"Docker,Terraform,AWS",1,"English,Russian",,,101-1000,90000,0,72000,28,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,No
Berlin,,Full-time employee,,Product Manager,,5,2,Senior,,Other,,2,English,,,1000+,86500,86500,65000,26,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Engineering Manager,,11,7,Lead / Staff,,Other,"Python,Java / Scala,Javascript / Typescript,Go,Kubernetes,AWS,Docker,Terraform",4,English,Kubernetes,,101-1000,110000,110000,95000,28,,,,,,,No,over 1000 euros
Munich,,Full-time employee,,Software Engineer,,5,0,Senior,,Go,"Go,Kubernetes,Docker",1,"English,Russian",,,1000+,105000,150000,,30,,,,,,,No,500 - 1000
Other,Vienna,Full-time employee,,Data Scientist,,14,5,Senior,,Python,"SQL,AWS,Azure,Terraform,Docker",3,"English,German",,,1000+,77500,85000,85000,25,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Software Engineer,,10,4,Senior,,Java,,,English,,,101-1000,85000,85000,,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Software Engineer,,9,6,Lead / Staff,,Kotlin,"Ruby,Java / Scala,Terraform,AWS",3,"English,Russian",,,101-1000,93000,111600,111600,31,,,,,,No,Yes,100 - 500
